Opérateur,Installation,Ville,État,Puissance_MW,Statut,Source,GFLOPS_BF16
Meta,Prineville Campus,Prineville,OR,1289,Operational,Enverus,3222.5
Meta,Colossus 1,"Shelby, TN",TN,1401,Operational,Enverus,3502.5
Meta,Altoona Campus,Altoona,IA,1289,Operational,Enverus,3222.5
Meta,Fort Worth Campus,Fort Worth,TX,729,Operational,Enverus,1822.5
Meta,Mesa Data Center,Mesa,AZ,701,Operational,Enverus,1752.5
Meta,DeKalb,DeKalb,IL,673,Operational,Enverus,1682.5
Meta,Elgin,Elgin,IL,300,Operational,ElectricChoice,750.0
Microsoft Azure,Quincy Campus,Quincy,WA,622,Operational,Enverus,933.0
Vantage,Ashburn Campus,Ashburn,VA,590,Operational,Enverus,1062.0
Switch,Las Vegas Core Campus,Las Vegas,NV,495,Operational,Enverus,742.5
Switch,Las Vegas 5,Las Vegas,NV,495,Operational,Enverus,742.5
Tesla,Gigafactory,Sparks,NV,500,Operational,Enverus,750.0
xAI,Colossus Memphis,Memphis,TN,1200,Operational,ElectricChoice,1800.0
xAI,Southaven,Southaven,MS,2000,Operational,ElectricChoice,3000.0
Amazon AWS,AWS Virginia,Ashburn,VA,1000,Operational,ElectricChoice,1500.0
Amazon AWS,AWS Oregon Umatilla,Umatilla,OR,250,Operational,ElectricChoice,375.0
Amazon AWS,AWS Ohio,Ohio,OH,1010,Operational,ElectricChoice,1515.0
Google,Council Bluffs,Council Bluffs,IA,250,Operational,ElectricChoice,625.0
Google,Kansas City,Kansas City,MO,200,Operational,ElectricChoice,500.0
Google,Wichita Campus,Wichita,KS,200,Operational,ElectricChoice,500.0
Amazon AWS,AWS Pennsylvania Salem,Salem,PA,1000,Operational,ElectricChoice,1500.0
Equinix,Equinix Ashburn Series,Ashburn,VA,100,Operational,ElectricChoice,150.0
Digital Realty,Digital Realty Ashburn,Ashburn,VA,150,Operational,CBRE,225.0
QTS Data Centers,QTS Ashburn,Ashburn,VA,200,Operational,CBRE,360.0
CyrusOne,CyrusOne Northern Virginia,Ashburn,VA,180,Operational,CBRE,270.0
CoreSite,CoreSite Ashburn,Ashburn,VA,120,Operational,CBRE,180.0
Iron Mountain,Iron Mountain Manassas,Manassas,VA,400,Operational,Iron Mountain,480.0
EdgeCore,EdgeCore Louisa County,Louisa,VA,1100,Operational,USDataMap,1650.0
