#,Projet,Statut,Commune,Département,Région,Opérateur,Surface terrain,Surface bâtiment,Puissance,Source,Note,Lien
1,Projet de data center — Dunkerque,Potentiel,Dunkerque,Nord,Hauts-de-France,Non identifié publiquement,21 ha,,1300 MW (SoftBank) / 400-700 MW (AMI),https://dcmag.fr/le-grand-port-maritime-de-dunkerque-lance-un-ami-pour-un-datacenter-entre-400-et-700-mw/,,https://guidedatacenter.fr/carte/dunkerque
2,Projet de data center — Zouafques,Potentiel,Zouafques,Pas-de-Calais,Hauts-de-France,Non identifié publiquement,17 ha (CAPSO),,,https://www.lavoixdunord.fr/1494660/article/2024-08-22/microsoft-va-implanter-un-data-center-dans-l-audomarois-zouafques,,https://guidedatacenter.fr/carte/zouafques
3,Projet de data center — Vieille-Église,Potentiel,Vieille-Église,Pas-de-Calais,Hauts-de-France,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/vieille-eglise
4,Projet de data center — Quaëdypre,Potentiel,Quaëdypre,Nord,Hauts-de-France,Non identifié publiquement,~20 ha,,,https://www.nordlittoral.fr/219742/article/2024-08-23/hauts-de-flandre-microsoft-projette-de-s-implanter-sur-le-territoire-quaedypre,,https://guidedatacenter.fr/carte/quaedypre
5,Projet de data center — Béthune,Potentiel,Béthune,Pas-de-Calais,Hauts-de-France,Nebius,,26 000 m²,240 MW,https://www.reuters.com/technology/amsterdam-based-ai-firm-nebius-build-240mw-data-centre-near-lille-france-2026-02-12/,,https://guidedatacenter.fr/carte/bethune
6,Data4 E-Valley,En instruction,Cambrai,Nord,Hauts-de-France,Data4,~23 ha,,1 GW (cible 2035),https://france3-regions.franceinfo.fr/hauts-de-france/nord-0/lille/ca-sera-tres-progressif-brookfield-investira-10-milliards-d-euros-sur-5-a-10-ans-pour-son-data-center-et-son-campus-ia-3366094.html,,https://guidedatacenter.fr/carte/data4-e-valley
7,Data4 La Porte du Hainaut,En instruction,Escaudain,Nord,Hauts-de-France,Data4,33 ha,,700 MW,https://www.data4group.com/wp-content/uploads/2026/06/Press-release_Data4-launches-a-new-campus-in-France.pdf,,https://guidedatacenter.fr/carte/data4-la-porte-du-hainaut
8,Projet de data center — Assevent,Potentiel,Assevent,Nord,Hauts-de-France,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/assevent
9,Projet de data center — Vieux-Reng,Potentiel,Vieux-Reng,Nord,Hauts-de-France,Non identifié publiquement,~83 ha (site Salmagne),,,https://www.canalfm.fr/la-creation-d-un-data-center-sur-le-site-de-la-salmagne,,https://guidedatacenter.fr/carte/vieux-reng
10,Projet de data center — Bosquel,Potentiel,Bosquel,Somme,Hauts-de-France,Non identifié publiquement,46 ha,,1000 MW (1 GW),https://dcmag.fr/softbank-group-et-sesterce-vont-developper-un-datacenter-dia-de-1-gw-a-bosquel/,,https://guidedatacenter.fr/carte/bosquel
11,H&DC Campus Inovia,Annoncé,Noyon,Oise,Hauts-de-France,H&DC,16 ha,,,https://lafibre.info/datacenter/a-noyon-le-promoteur-des-futurs-datacenters-se-fixe-2030-pour-les-embauches/,,https://guidedatacenter.fr/carte/h&dc-campus-inovia
12,Projet de data center — Rantigny,Potentiel,Rantigny,Oise,Hauts-de-France,Non identifié publiquement,33 ha,,300 MVA (~300 MW),https://www.francesoir.fr/politique-france/dans-l-oise-deux-data-centers-geants-inquietent-leurs-futurs-voisins,,https://guidedatacenter.fr/carte/rantigny
13,Projet de data center — La Hague,Potentiel,La Hague,Manche,Normandie,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/la-hague
14,Projet de data center — Colombelles,Potentiel,Colombelles,Calvados,Normandie,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/colombelles
15,Projet de data center — Cagny,Potentiel,Cagny,Calvados,Normandie,Non identifié publiquement,33 ha,,,https://www.ici.fr/infos/economie-social/info-ici-a-cagny-un-datacenter-et-un-campus-autour-de-l-ia-pourraient-voir-le-jour-sur-le-site-de-l-ancienne-sucrerie-3649380,,https://guidedatacenter.fr/carte/cagny
16,NDC Rouen,En construction,Val-de-Reuil,Eure,Normandie,NDC,"1,5 ha",1 700 m²,"14 MW (cible 26,5 MW)",https://nationdatacenter.fr/ndc-rouen-2/,,https://guidedatacenter.fr/carte/ndc-rouen
17,Eclairion Richemont,Potentiel,Richemont,Moselle,Grand Est,Eclairion,,,150 MW,https://eclairion.com/nos-sites,,https://guidedatacenter.fr/carte/eclairion-richemont
18,Eclairion La Maxe,Potentiel,La Maxe,Moselle,Grand Est,Eclairion,,,250 MW,https://eclairion.com/nos-sites,,https://guidedatacenter.fr/carte/eclairion-la-maxe
19,Projet de data center — Saint-Avold,Potentiel,Saint-Avold,Moselle,Grand Est,Non identifié publiquement,~80 ha,,300 MW,https://innovations.fr/gazelenergie-reinvente-saint-avold/,,https://guidedatacenter.fr/carte/saint-avold
20,"OVHcloud SBG6, SBG7 et SBG8",En construction,Strasbourg,Bas-Rhin,Grand Est,OVHcloud,,,,,,"https://guidedatacenter.fr/carte/ovhcloud-sbg6,-sbg7-et-sbg8"
21,Projet de data center — Petit-Landau,Potentiel,Petit-Landau,Haut-Rhin,Grand Est,Non identifié publiquement,~36 ha,38 200 m² (3 bâtiments),~171 MW (1500 GWh/an),http://petit-landau.fr/wp-content/uploads/2025/02/7-MSFT-Petit-Landau-Synthèse-procédure-environnementale.pdf,,https://guidedatacenter.fr/carte/petit-landau
22,PanaFrance,Annoncé,Romilly-sur-Seine,Aube,Grand Est,PanaFrance,40 ha,200 000 m²,,https://dcmag.fr/panafrance-veut-construire-un-datacenter-de-200-000-m²-a-romilly-sur-seine/,,https://guidedatacenter.fr/carte/panafrance
23,Eclairion Bessé,En instruction,Bessé-sur-Braye,Sarthe,Pays de la Loire,Eclairion,47 ha (9 ha acquis),,335 MW,https://eclairion.com/,,https://guidedatacenter.fr/carte/eclairion-besse
24,Projet de data center — Étrechet,Potentiel,Étrechet,Indre,Centre-Val de Loire,Non identifié publiquement,195 ha,,>500 MW (900 MW),https://www.debatpublic.fr/data-center-ozans-chateauroux-de-google-et-son-raccordement-electrique-8996,,https://guidedatacenter.fr/carte/etrechet
25,Datavest Cap Cité de l'entreprise,Potentiel,Mâcon,Saône-et-Loire,Bourgogne-Franche-Comté,Datavest,,,20 MW (initial) / 60 MW (terme),https://www.lesechos.fr/pme-regions/bourgogne-franche-comte/le-nouveau-promoteur-datavest-capital-annonce-un-data-center-a-300-millions-deuros-a-macon-2220153,,https://guidedatacenter.fr/carte/datavest-cap-cite-de-lentreprise
26,Azur Datacenter Lyon 01,Potentiel,Meyzieu,Rhône,Auvergne-Rhône-Alpes,Azur Datacenter,"1,25 ha (12 500 m²)",4 660 m²,,https://www.datacenterdynamics.com/en/news/former-solar-panel-factory-in-lyon-france-to-be-turned-into-data-center/,,https://guidedatacenter.fr/carte/azur-datacenter-lyon-01
27,H&DC Participations PIPA,Potentiel,Saint-Vulbas,Ain,Auvergne-Rhône-Alpes,H&DC Participations,,,195 MW,https://lafibre.info/datacenter/carte-des-projets-de-data-centers-en-cours,,https://guidedatacenter.fr/carte/h&dc-participations-pipa
28,Moji 2 Bron-Parilly,Annoncé,Bron,Rhône,Auvergne-Rhône-Alpes,Moji,,,"16,6 MW",https://scoremydatacenter.org/dc/fr-moji,,https://guidedatacenter.fr/carte/moji-2-bron-parilly
29,DataOne Lyon,En construction,Villefontaine,Isère,Auvergne-Rhône-Alpes,DataOne,8 ha (80 000 m²),23 200 m²,2 MW (initial) / 60 MW (cible),https://dataone.eu/,,https://guidedatacenter.fr/carte/dataone-lyon
30,Projet de data center — Loire-sur-Rhône,Potentiel,Loire-sur-Rhône,Rhône,Auvergne-Rhône-Alpes,Non identifié publiquement,14 ha (site) / 60 ha (EDF),,350 MW,https://www.leprogres.fr/economie/2026/07/01/reconversion-de-ses-anciens-sites-industriels-edf-a-choisi-la-societe-qui-developpera-pour-son-futur-data-center-de-350-mw,,https://guidedatacenter.fr/carte/loire-sur-rhone
