Opérateur,Installation,Ville,État,Puissance_MW,Statut,Source
Meta,Prineville Campus,Prineville,OR,1289,Operational,Enverus
Meta,Colossus 1,"Shelby, TN",TN,1401,Operational,Enverus
Meta,Altoona Campus,Altoona,IA,1289,Operational,Enverus
Meta,Fort Worth Campus,Fort Worth,TX,729,Operational,Enverus
Meta,Mesa Data Center,Mesa,AZ,701,Operational,Enverus
Meta,DeKalb,DeKalb,IL,673,Operational,Enverus
Meta,Elgin,Elgin,IL,300,Operational,ElectricChoice
Microsoft Azure,Quincy Campus,Quincy,WA,622,Operational,Enverus
Vantage,Ashburn Campus,Ashburn,VA,590,Operational,Enverus
Switch,Las Vegas Core Campus,Las Vegas,NV,495,Operational,Enverus
Switch,Las Vegas 5,Las Vegas,NV,495,Operational,Enverus
Tesla,Gigafactory,Sparks,NV,500,Operational,Enverus
xAI,Colossus Memphis,Memphis,TN,1200,Operational,ElectricChoice
xAI,Southaven,Southaven,MS,2000,Operational,ElectricChoice
Amazon AWS,AWS Virginia,Ashburn,VA,1000,Operational,ElectricChoice
Amazon AWS,AWS Oregon Umatilla,Umatilla,OR,250,Operational,ElectricChoice
Amazon AWS,AWS Ohio,Ohio,OH,1010,Operational,ElectricChoice
Google,Council Bluffs,Council Bluffs,IA,250,Operational,ElectricChoice
Google,Kansas City,Kansas City,MO,200,Operational,ElectricChoice
Google,Wichita Campus,Wichita,KS,200,Operational,ElectricChoice
Amazon AWS,AWS Pennsylvania Salem,Salem,PA,1000,Operational,ElectricChoice
Equinix,Equinix Ashburn Series,Ashburn,VA,100,Operational,ElectricChoice
Digital Realty,Digital Realty Ashburn,Ashburn,VA,150,Operational,CBRE
QTS Data Centers,QTS Ashburn,Ashburn,VA,200,Operational,CBRE
CyrusOne,CyrusOne Northern Virginia,Ashburn,VA,180,Operational,CBRE
CoreSite,CoreSite Ashburn,Ashburn,VA,120,Operational,CBRE
Iron Mountain,Iron Mountain Manassas,Manassas,VA,400,Operational,Iron Mountain
EdgeCore,EdgeCore Louisa County,Louisa,VA,1100,Operational,USDataMap
Amazon AWS,AWS North Creek,Louisa,VA,2700,Operational,ElectricChoice
Meta,Fort Worth Campus,Fort Worth,TX,729,Operational,Enverus
Riot Platforms,Rockdale,Rockdale,TX,700,Operational,ElectricChoice
Fermi America,Amarillo Campus,Amarillo,TX,11000,Under Construction,USDataMap
Amazon AWS,AWS Texas,Texas,TX,800,Operational,ElectricChoice
Meta,Prineville,Prineville,OR,1289,Operational,Enverus
Microsoft,Azure Quincy,Quincy,WA,622,Operational,Enverus
